Site;Microscopy;abundance
exposed_3;Asplanchna_spp;0
exposed_4;Asplanchna_spp;0
exposed_5;Asplanchna_spp;0
exposed_6;Asplanchna_spp;0
semi_1;Asplanchna_spp;0
semi_2;Asplanchna_spp;0
semi_3;Asplanchna_spp;0
semi_4;Asplanchna_spp;0
semi_5;Asplanchna_spp;200
shel_1;Asplanchna_spp;0
shel_2;Asplanchna_spp;0
shel_3;Asplanchna_spp;0
shel_4;Asplanchna_spp;0
shel_5;Asplanchna_spp;0
pojo_1;Asplanchna_spp;0
pojo_2;Asplanchna_spp;0
eke_1;Asplanchna_spp;0
eke_2;Asplanchna_spp;0
eke_3;Asplanchna_spp;333,33
extra_1;Asplanchna_spp;800
extra_2;Asplanchna_spp;0
extra_3;Asplanchna_spp;0
extra_4;Asplanchna_spp;0
exposed_1;Balanidae;1500
exposed_2;Balanidae;700
exposed_3;Balanidae;1333,33
exposed_4;Balanidae;4850
exposed_5;Balanidae;4900
exposed_6;Balanidae;2450
semi_1;Balanidae;3800
semi_2;Balanidae;3850
semi_3;Balanidae;4150
semi_4;Balanidae;1000
semi_5;Balanidae;3050
shel_1;Balanidae;900
shel_2;Balanidae;1350
shel_3;Balanidae;2533,27
shel_4;Balanidae;1400
shel_5;Balanidae;2500
pojo_1;Balanidae;0
pojo_2;Balanidae;0
eke_1;Balanidae;0
eke_2;Balanidae;58,8235
eke_3;Balanidae;0
extra_1;Balanidae;400
extra_2;Balanidae;0
extra_3;Balanidae;0
extra_4;Balanidae;0
exposed_1;Bivalvia;100
exposed_2;Bivalvia;50
exposed_3;Bivalvia;0
exposed_4;Bivalvia;1150
exposed_5;Bivalvia;500
exposed_6;Bivalvia;550
semi_1;Bivalvia;0
semi_2;Bivalvia;100
semi_3;Bivalvia;250
semi_4;Bivalvia;0
semi_5;Bivalvia;450
shel_1;Bivalvia;0
shel_2;Bivalvia;0
shel_3;Bivalvia;266,66
shel_4;Bivalvia;250
shel_5;Bivalvia;1600
pojo_1;Bivalvia;0
pojo_2;Bivalvia;0
eke_1;Bivalvia;0
eke_2;Bivalvia;0
eke_3;Bivalvia;0
extra_1;Bivalvia;0
extra_2;Bivalvia;0
extra_3;Bivalvia;0
extra_4;Bivalvia;0
exposed_1;Bosmina;1950
exposed_2;Bosmina;1500
exposed_3;Bosmina;4466,6555
exposed_4;Bosmina;1850
exposed_5;Bosmina;11050
exposed_6;Bosmina;450
semi_1;Bosmina;2500
semi_2;Bosmina;1800
semi_3;Bosmina;2150
semi_4;Bosmina;6500
semi_5;Bosmina;5200
shel_1;Bosmina;800
shel_2;Bosmina;1550
shel_3;Bosmina;7066,49
shel_4;Bosmina;1400
shel_5;Bosmina;6050
pojo_1;Bosmina;2400
pojo_2;Bosmina;5700
eke_1;Bosmina;50
eke_2;Bosmina;3294,116
eke_3;Bosmina;1533,34
extra_1;Bosmina;2000
extra_2;Bosmina;0
extra_3;Bosmina;1293,75
extra_4;Bosmina;700
exposed_1;Cercopagis_pengoi;0
exposed_2;Cercopagis_pengoi;0
exposed_3;Cercopagis_pengoi;0
exposed_4;Cercopagis_pengoi;0
exposed_5;Cercopagis_pengoi;0
exposed_6;Cercopagis_pengoi;0
semi_1;Cercopagis_pengoi;0
semi_2;Cercopagis_pengoi;0
semi_3;Cercopagis_pengoi;0
semi_4;Cercopagis_pengoi;0
semi_5;Cercopagis_pengoi;350
shel_1;Cercopagis_pengoi;0
shel_2;Cercopagis_pengoi;0
shel_3;Cercopagis_pengoi;0
shel_4;Cercopagis_pengoi;0
shel_5;Cercopagis_pengoi;0
pojo_1;Cercopagis_pengoi;0
pojo_2;Cercopagis_pengoi;0
eke_1;Cercopagis_pengoi;0
eke_2;Cercopagis_pengoi;0
eke_3;Cercopagis_pengoi;0
extra_1;Cercopagis_pengoi;0
extra_2;Cercopagis_pengoi;0
extra_3;Cercopagis_pengoi;0
extra_4;Cercopagis_pengoi;0
exposed_1;Ceriodaphnia_spp;0
exposed_2;Ceriodaphnia_spp;0
exposed_3;Ceriodaphnia_spp;66,6665
exposed_4;Ceriodaphnia_spp;0
exposed_5;Ceriodaphnia_spp;0
exposed_6;Ceriodaphnia_spp;0
semi_1;Ceriodaphnia_spp;0
semi_2;Ceriodaphnia_spp;50
semi_3;Ceriodaphnia_spp;0
semi_4;Ceriodaphnia_spp;100
semi_5;Ceriodaphnia_spp;0
shel_1;Ceriodaphnia_spp;150
shel_2;Ceriodaphnia_spp;400
shel_3;Ceriodaphnia_spp;133,33
shel_4;Ceriodaphnia_spp;0
shel_5;Ceriodaphnia_spp;0
pojo_1;Ceriodaphnia_spp;0
pojo_2;Ceriodaphnia_spp;200
eke_1;Ceriodaphnia_spp;500
eke_2;Ceriodaphnia_spp;1352,9405
eke_3;Ceriodaphnia_spp;466,67
extra_1;Ceriodaphnia_spp;100
extra_2;Ceriodaphnia_spp;0
extra_3;Ceriodaphnia_spp;0
extra_4;Ceriodaphnia_spp;0
exposed_1;Chydorus_spp;0
exposed_2;Chydorus_spp;100
exposed_3;Chydorus_spp;133,333
exposed_4;Chydorus_spp;150
exposed_5;Chydorus_spp;0
exposed_6;Chydorus_spp;0
semi_1;Chydorus_spp;0
semi_2;Chydorus_spp;0
semi_3;Chydorus_spp;50
semi_4;Chydorus_spp;0
semi_5;Chydorus_spp;0
shel_1;Chydorus_spp;0
shel_2;Chydorus_spp;250
shel_3;Chydorus_spp;66,665
shel_4;Chydorus_spp;0
shel_5;Chydorus_spp;0
pojo_1;Chydorus_spp;0
pojo_2;Chydorus_spp;0
eke_1;Chydorus_spp;0
eke_2;Chydorus_spp;0
eke_3;Chydorus_spp;133,33
extra_1;Chydorus_spp;0
extra_2;Chydorus_spp;0
extra_3;Chydorus_spp;0
extra_4;Chydorus_spp;0
exposed_1;Daphnia_christata;0
exposed_2;Daphnia_christata;0
exposed_3;Daphnia_christata;0
exposed_4;Daphnia_christata;0
exposed_5;Daphnia_christata;0
exposed_6;Daphnia_christata;0
semi_1;Daphnia_christata;0
semi_2;Daphnia_christata;0
semi_3;Daphnia_christata;0
semi_4;Daphnia_christata;800
semi_5;Daphnia_christata;0
shel_1;Daphnia_christata;0
shel_2;Daphnia_christata;50
shel_3;Daphnia_christata;0
shel_4;Daphnia_christata;0
shel_5;Daphnia_christata;0
pojo_1;Daphnia_christata;0
pojo_2;Daphnia_christata;200
eke_1;Daphnia_christata;50
eke_2;Daphnia_christata;0
eke_3;Daphnia_christata;333,33
extra_1;Daphnia_christata;0
extra_2;Daphnia_christata;0
extra_3;Daphnia_christata;0
extra_4;Daphnia_christata;0
exposed_1;Daphnia_cucullata;0
exposed_2;Daphnia_cucullata;0
exposed_3;Daphnia_cucullata;0
exposed_4;Daphnia_cucullata;0
exposed_5;Daphnia_cucullata;0
exposed_6;Daphnia_cucullata;0
semi_1;Daphnia_cucullata;0
semi_2;Daphnia_cucullata;0
semi_3;Daphnia_cucullata;0
semi_4;Daphnia_cucullata;0
semi_5;Daphnia_cucullata;150
shel_1;Daphnia_cucullata;0
shel_2;Daphnia_cucullata;0
shel_3;Daphnia_cucullata;0
shel_4;Daphnia_cucullata;650
shel_5;Daphnia_cucullata;400
pojo_1;Daphnia_cucullata;0
pojo_2;Daphnia_cucullata;12300
eke_1;Daphnia_cucullata;50
eke_2;Daphnia_cucullata;117,647
eke_3;Daphnia_cucullata;0
extra_1;Daphnia_cucullata;300
extra_2;Daphnia_cucullata;0
extra_3;Daphnia_cucullata;0
extra_4;Daphnia_cucullata;0
exposed_1;Daphnia_spp;0
exposed_2;Daphnia_spp;0
exposed_3;Daphnia_spp;0
exposed_4;Daphnia_spp;0
exposed_5;Daphnia_spp;0
exposed_6;Daphnia_spp;0
semi_1;Daphnia_spp;0
semi_2;Daphnia_spp;0
semi_3;Daphnia_spp;0
semi_4;Daphnia_spp;0
semi_5;Daphnia_spp;50
shel_1;Daphnia_spp;0
shel_2;Daphnia_spp;0
shel_3;Daphnia_spp;0
shel_4;Daphnia_spp;0
shel_5;Daphnia_spp;0
pojo_1;Daphnia_spp;0
pojo_2;Daphnia_spp;0
eke_1;Daphnia_spp;0
eke_2;Daphnia_spp;0
eke_3;Daphnia_spp;0
extra_1;Daphnia_spp;0
extra_2;Daphnia_spp;0
extra_3;Daphnia_spp;143,75
extra_4;Daphnia_spp;0
exposed_1;Eurytemora;250
exposed_2;Eurytemora;350
exposed_3;Eurytemora;1533,3295
exposed_4;Eurytemora;1150
exposed_5;Eurytemora;800
exposed_6;Eurytemora;150
semi_1;Eurytemora;2500
semi_2;Eurytemora;850
semi_3;Eurytemora;750
semi_4;Eurytemora;100
semi_5;Eurytemora;400
shel_1;Eurytemora;450
shel_2;Eurytemora;4250
shel_3;Eurytemora;599,985
shel_4;Eurytemora;100
shel_5;Eurytemora;300
pojo_1;Eurytemora;3600
pojo_2;Eurytemora;3900
eke_1;Eurytemora;450
eke_2;Eurytemora;23294,106
eke_3;Eurytemora;14666,67
extra_1;Eurytemora;6200
extra_2;Eurytemora;0
extra_3;Eurytemora;287,5
extra_4;Eurytemora;150
exposed_1;Evadne_spp;150
exposed_2;Evadne_spp;0
exposed_3;Evadne_spp;199,9995
exposed_4;Evadne_spp;0
exposed_5;Evadne_spp;150
exposed_6;Evadne_spp;0
semi_1;Evadne_spp;0
semi_2;Evadne_spp;200
semi_3;Evadne_spp;0
semi_4;Evadne_spp;0
semi_5;Evadne_spp;0
shel_1;Evadne_spp;0
shel_2;Evadne_spp;0
shel_3;Evadne_spp;0
shel_4;Evadne_spp;0
shel_5;Evadne_spp;0
pojo_1;Evadne_spp;0
pojo_2;Evadne_spp;0
eke_1;Evadne_spp;0
eke_2;Evadne_spp;0
eke_3;Evadne_spp;66,67
extra_1;Evadne_spp;0
extra_2;Evadne_spp;0
extra_3;Evadne_spp;0
extra_4;Evadne_spp;0
exposed_1;Gastropoda;1200
exposed_2;Gastropoda;1050
exposed_3;Gastropoda;1266,6635
exposed_4;Gastropoda;850
exposed_5;Gastropoda;600
exposed_6;Gastropoda;1550
semi_1;Gastropoda;1100
semi_2;Gastropoda;1100
semi_3;Gastropoda;700
semi_4;Gastropoda;100
semi_5;Gastropoda;350
shel_1;Gastropoda;0
shel_2;Gastropoda;100
shel_3;Gastropoda;0
shel_4;Gastropoda;150
shel_5;Gastropoda;600
pojo_1;Gastropoda;0
pojo_2;Gastropoda;0
eke_1;Gastropoda;0
eke_2;Gastropoda;0
eke_3;Gastropoda;66,67
extra_1;Gastropoda;0
extra_2;Gastropoda;0
extra_3;Gastropoda;0
extra_4;Gastropoda;50
exposed_1;Harpacticoida;0
exposed_2;Harpacticoida;0
exposed_3;Harpacticoida;0
exposed_4;Harpacticoida;50
exposed_5;Harpacticoida;0
exposed_6;Harpacticoida;0
semi_1;Harpacticoida;0
semi_2;Harpacticoida;0
semi_3;Harpacticoida;0
semi_4;Harpacticoida;0
semi_5;Harpacticoida;0
shel_1;Harpacticoida;0
shel_2;Harpacticoida;0
shel_3;Harpacticoida;0
shel_4;Harpacticoida;0
shel_5;Harpacticoida;0
pojo_1;Harpacticoida;0
pojo_2;Harpacticoida;0
eke_1;Harpacticoida;0
eke_2;Harpacticoida;0
eke_3;Harpacticoida;0
extra_1;Harpacticoida;100
extra_2;Harpacticoida;0
extra_3;Harpacticoida;0
extra_4;Harpacticoida;0
exposed_1;Helicostomella_subulata;78900
exposed_2;Helicostomella_subulata;31700
exposed_3;Helicostomella_subulata;57133,1905
exposed_4;Helicostomella_subulata;55700
exposed_5;Helicostomella_subulata;73600
exposed_6;Helicostomella_subulata;45100
semi_1;Helicostomella_subulata;349300
semi_2;Helicostomella_subulata;70250
semi_3;Helicostomella_subulata;611400
semi_4;Helicostomella_subulata;5600
semi_5;Helicostomella_subulata;8700
shel_1;Helicostomella_subulata;2250
shel_2;Helicostomella_subulata;4000
shel_3;Helicostomella_subulata;28799,28
shel_4;Helicostomella_subulata;5600
shel_5;Helicostomella_subulata;103750
pojo_1;Helicostomella_subulata;0
pojo_2;Helicostomella_subulata;200
eke_1;Helicostomella_subulata;150
eke_2;Helicostomella_subulata;0
eke_3;Helicostomella_subulata;400
extra_1;Helicostomella_subulata;100
extra_2;Helicostomella_subulata;250
extra_3;Helicostomella_subulata;4743,75
extra_4;Helicostomella_subulata;10550
exposed_1;Keratella_cochlearis;13000
exposed_2;Keratella_cochlearis;13100
exposed_3;Keratella_cochlearis;31266,5885
exposed_4;Keratella_cochlearis;17750
exposed_5;Keratella_cochlearis;3100
exposed_6;Keratella_cochlearis;43650
semi_1;Keratella_cochlearis;254250
semi_2;Keratella_cochlearis;79450
semi_3;Keratella_cochlearis;345800
semi_4;Keratella_cochlearis;202800
semi_5;Keratella_cochlearis;166450
shel_1;Keratella_cochlearis;30800
shel_2;Keratella_cochlearis;32650
shel_3;Keratella_cochlearis;179462,18
shel_4;Keratella_cochlearis;158800
shel_5;Keratella_cochlearis;314100
pojo_1;Keratella_cochlearis;509000
pojo_2;Keratella_cochlearis;203500
eke_1;Keratella_cochlearis;72300
eke_2;Keratella_cochlearis;396588,037
eke_3;Keratella_cochlearis;333933,25
extra_1;Keratella_cochlearis;323800
extra_2;Keratella_cochlearis;10750
extra_3;Keratella_cochlearis;87831,25
extra_4;Keratella_cochlearis;540700
exposed_1;Keratella_cruciformis;11550
exposed_2;Keratella_cruciformis;6050
exposed_3;Keratella_cruciformis;12533,302
exposed_4;Keratella_cruciformis;3600
exposed_5;Keratella_cruciformis;2600
exposed_6;Keratella_cruciformis;2150
semi_1;Keratella_cruciformis;8450
semi_2;Keratella_cruciformis;9200
semi_3;Keratella_cruciformis;28400
semi_4;Keratella_cruciformis;18000
semi_5;Keratella_cruciformis;15150
shel_1;Keratella_cruciformis;1800
shel_2;Keratella_cruciformis;1100
shel_3;Keratella_cruciformis;9266,435
shel_4;Keratella_cruciformis;40350
shel_5;Keratella_cruciformis;34300
pojo_1;Keratella_cruciformis;0
pojo_2;Keratella_cruciformis;500
eke_1;Keratella_cruciformis;250
eke_2;Keratella_cruciformis;1176,47
eke_3;Keratella_cruciformis;43599,99
extra_1;Keratella_cruciformis;5000
extra_2;Keratella_cruciformis;100
extra_3;Keratella_cruciformis;3162,5
extra_4;Keratella_cruciformis;4650
exposed_1;Keratella_quadrata;39700
exposed_2;Keratella_quadrata;23500
exposed_3;Keratella_quadrata;20533,282
exposed_4;Keratella_quadrata;19300
exposed_5;Keratella_quadrata;15850
exposed_6;Keratella_quadrata;11150
semi_1;Keratella_quadrata;45050
semi_2;Keratella_quadrata;22000
semi_3;Keratella_quadrata;70500
semi_4;Keratella_quadrata;65100
semi_5;Keratella_quadrata;9100
shel_1;Keratella_quadrata;14500
shel_2;Keratella_quadrata;28950
shel_3;Keratella_quadrata;38199,045
shel_4;Keratella_quadrata;116250
shel_5;Keratella_quadrata;52550
pojo_1;Keratella_quadrata;18400
pojo_2;Keratella_quadrata;27000
eke_1;Keratella_quadrata;14200
eke_2;Keratella_quadrata;202117,546
eke_3;Keratella_quadrata;338266,58
extra_1;Keratella_quadrata;58200
extra_2;Keratella_quadrata;3300
extra_3;Keratella_quadrata;29325
extra_4;Keratella_quadrata;4550
exposed_1;Podon_spp;3500
exposed_2;Podon_spp;1650
exposed_3;Podon_spp;4266,656
exposed_4;Podon_spp;1200
exposed_5;Podon_spp;550
exposed_6;Podon_spp;450
semi_1;Podon_spp;3250
semi_2;Podon_spp;2250
semi_3;Podon_spp;2550
semi_4;Podon_spp;700
semi_5;Podon_spp;400
shel_1;Podon_spp;0
shel_2;Podon_spp;0
shel_3;Podon_spp;533,32
shel_4;Podon_spp;50
shel_5;Podon_spp;800
pojo_1;Podon_spp;0
pojo_2;Podon_spp;0
eke_1;Podon_spp;0
eke_2;Podon_spp;411,7645
eke_3;Podon_spp;0
extra_1;Podon_spp;100
extra_2;Podon_spp;0
extra_3;Podon_spp;0
extra_4;Podon_spp;0
exposed_1;Polychaeta;0
exposed_2;Polychaeta;0
exposed_3;Polychaeta;0
exposed_4;Polychaeta;100
exposed_5;Polychaeta;0
exposed_6;Polychaeta;0
semi_1;Polychaeta;0
semi_2;Polychaeta;0
semi_3;Polychaeta;0
semi_4;Polychaeta;800
semi_5;Polychaeta;450
shel_1;Polychaeta;0
shel_2;Polychaeta;0
shel_3;Polychaeta;333,325
shel_4;Polychaeta;1100
shel_5;Polychaeta;750
pojo_1;Polychaeta;0
pojo_2;Polychaeta;0
eke_1;Polychaeta;0
eke_2;Polychaeta;58,8235
eke_3;Polychaeta;0
extra_1;Polychaeta;400
extra_2;Polychaeta;0
extra_3;Polychaeta;0
extra_4;Polychaeta;0
exposed_1;Sididae;0
exposed_2;Sididae;0
exposed_3;Sididae;0
exposed_4;Sididae;0
exposed_5;Sididae;0
exposed_6;Sididae;0
semi_1;Sididae;0
semi_2;Sididae;0
semi_3;Sididae;0
semi_4;Sididae;0
semi_5;Sididae;0
shel_1;Sididae;0
shel_2;Sididae;50
shel_3;Sididae;0
shel_4;Sididae;0
shel_5;Sididae;0
pojo_1;Sididae;0
pojo_2;Sididae;0
eke_1;Sididae;0
eke_2;Sididae;0
eke_3;Sididae;0
extra_1;Sididae;0
extra_2;Sididae;0
extra_3;Sididae;0
extra_4;Sididae;0
exposed_1;Synchaeta_spp;3250
exposed_2;Synchaeta_spp;1200
exposed_3;Synchaeta_spp;1199,997
exposed_4;Synchaeta_spp;1500
exposed_5;Synchaeta_spp;1900
exposed_6;Synchaeta_spp;0
semi_1;Synchaeta_spp;1700
semi_2;Synchaeta_spp;1700
semi_3;Synchaeta_spp;50
semi_4;Synchaeta_spp;100
semi_5;Synchaeta_spp;0
shel_1;Synchaeta_spp;550
shel_2;Synchaeta_spp;350
shel_3;Synchaeta_spp;0
shel_4;Synchaeta_spp;200
shel_5;Synchaeta_spp;200
pojo_1;Synchaeta_spp;100
pojo_2;Synchaeta_spp;400
eke_1;Synchaeta_spp;600
eke_2;Synchaeta_spp;2588,234
eke_3;Synchaeta_spp;12333,33
extra_1;Synchaeta_spp;600
extra_2;Synchaeta_spp;0
extra_3;Synchaeta_spp;0
extra_4;Synchaeta_spp;50
exposed_1;Temora;400
exposed_2;Temora;50
exposed_3;Temora;266,666
exposed_4;Temora;0
exposed_5;Temora;0
exposed_6;Temora;50
semi_1;Temora;450
semi_2;Temora;50
semi_3;Temora;0
semi_4;Temora;0
semi_5;Temora;50
shel_1;Temora;0
shel_2;Temora;100
shel_3;Temora;0
shel_4;Temora;0
shel_5;Temora;0
pojo_1;Temora;0
pojo_2;Temora;0
eke_1;Temora;200
eke_2;Temora;117,647
eke_3;Temora;866,67
extra_1;Temora;0
extra_2;Temora;50
extra_3;Temora;0
extra_4;Temora;50
exposed_1;Tintinnopsis_brandti;4650
exposed_2;Tintinnopsis_brandti;950
exposed_3;Tintinnopsis_brandti;5466,653
exposed_4;Tintinnopsis_brandti;68800
exposed_5;Tintinnopsis_brandti;4900
exposed_6;Tintinnopsis_brandti;6700
semi_1;Tintinnopsis_brandti;5600
semi_2;Tintinnopsis_brandti;13050
semi_3;Tintinnopsis_brandti;250
semi_4;Tintinnopsis_brandti;0
semi_5;Tintinnopsis_brandti;2250
shel_1;Tintinnopsis_brandti;200
shel_2;Tintinnopsis_brandti;0
shel_3;Tintinnopsis_brandti;66,665
shel_4;Tintinnopsis_brandti;0
shel_5;Tintinnopsis_brandti;100
pojo_1;Tintinnopsis_brandti;0
pojo_2;Tintinnopsis_brandti;0
eke_1;Tintinnopsis_brandti;100
eke_2;Tintinnopsis_brandti;0
eke_3;Tintinnopsis_brandti;0
extra_1;Tintinnopsis_brandti;0
extra_2;Tintinnopsis_brandti;0
extra_3;Tintinnopsis_brandti;143,75
extra_4;Tintinnopsis_brandti;0
exposed_1;Tintinnopsis_fimbriata;20600
exposed_2;Tintinnopsis_fimbriata;850
exposed_3;Tintinnopsis_fimbriata;0
exposed_4;Tintinnopsis_fimbriata;2500
exposed_5;Tintinnopsis_fimbriata;400
exposed_6;Tintinnopsis_fimbriata;200
semi_1;Tintinnopsis_fimbriata;5500
semi_2;Tintinnopsis_fimbriata;1850
semi_3;Tintinnopsis_fimbriata;15900
semi_4;Tintinnopsis_fimbriata;16800
semi_5;Tintinnopsis_fimbriata;20700
shel_1;Tintinnopsis_fimbriata;2100
shel_2;Tintinnopsis_fimbriata;18900
shel_3;Tintinnopsis_fimbriata;31665,875
shel_4;Tintinnopsis_fimbriata;57850
shel_5;Tintinnopsis_fimbriata;81400
pojo_1;Tintinnopsis_fimbriata;526700
pojo_2;Tintinnopsis_fimbriata;898600
eke_1;Tintinnopsis_fimbriata;131600
eke_2;Tintinnopsis_fimbriata;25823,5165
eke_3;Tintinnopsis_fimbriata;660266,5
extra_1;Tintinnopsis_fimbriata;900
extra_2;Tintinnopsis_fimbriata;1950
extra_3;Tintinnopsis_fimbriata;1437,5
extra_4;Tintinnopsis_fimbriata;1800
exposed_1;Tintinnopsis_lobiancoi;900
exposed_2;Tintinnopsis_lobiancoi;400
exposed_3;Tintinnopsis_lobiancoi;1533,3295
exposed_4;Tintinnopsis_lobiancoi;4300
exposed_5;Tintinnopsis_lobiancoi;100
exposed_6;Tintinnopsis_lobiancoi;250
semi_1;Tintinnopsis_lobiancoi;100
semi_2;Tintinnopsis_lobiancoi;450
semi_3;Tintinnopsis_lobiancoi;100
semi_4;Tintinnopsis_lobiancoi;0
semi_5;Tintinnopsis_lobiancoi;300
shel_1;Tintinnopsis_lobiancoi;0
shel_2;Tintinnopsis_lobiancoi;50
shel_3;Tintinnopsis_lobiancoi;0
shel_4;Tintinnopsis_lobiancoi;0
shel_5;Tintinnopsis_lobiancoi;100
pojo_1;Tintinnopsis_lobiancoi;0
pojo_2;Tintinnopsis_lobiancoi;0
eke_1;Tintinnopsis_lobiancoi;0
eke_2;Tintinnopsis_lobiancoi;0
eke_3;Tintinnopsis_lobiancoi;0
extra_1;Tintinnopsis_lobiancoi;0
extra_2;Tintinnopsis_lobiancoi;0
extra_3;Tintinnopsis_lobiancoi;0
extra_4;Tintinnopsis_lobiancoi;0
